iso3,year,cate,cate_lb,cate_ub,k_l2,antisys_l5,milexp_gdp_l1,dem_l1,ln_gdppc,resource_rents,urban_share,decade,v2x_polyarchy_l1,abs_red_l1
DOM,2020,-0.16666799404755797,,,11.893405165566872,-1.5417999999999998,0.689583054746984,1.0,8.908677478547647,1.23931109405337,73.2643793773663,2020,0.569,1.6
DOM,2021,-0.18775416717878257,,,11.928562016451945,-1.5661999999999998,0.746231922011371,1.0,9.029406464326538,2.07711318519727,72.9243347395035,2020,0.656,1.9
ECU,1995,-0.08059917940915036,,,11.8035793173148,-1.4246000000000003,1.31569135777556,1.0,8.318909885814428,7.81653810988059,58.218469145091,1990,0.697,-0.9
ECU,1996,-0.05377395561546574,,,11.782116321625615,-1.6192,1.98760353101763,1.0,8.317239061213131,9.06384330500035,58.7951345734834,1990,0.699,-0.8
ECU,1997,-0.058706167155324944,,,11.77066631435892,-1.5708,1.6897249235818,1.0,8.341137220480002,7.15232502703141,59.3379890323065,1990,0.696,-0.9
ECU,1998,-0.05118523112559791,,,11.745439136634078,-1.2882,1.8110665611487,1.0,8.355154966713103,4.06421827365714,59.8393139134949,1990,0.695,-1.0
ECU,1999,-0.06138669963142782,,,11.716300481018724,-1.0585999999999998,2.01895367462851,1.0,8.288834297845295,8.23306097190049,60.2913906089831,1990,0.696,-0.9
ECU,2000,-0.07044800816797657,,,11.686558743657692,-0.8484,1.55598240646013,1.0,8.282330942924474,16.7324376195742,60.6865005107058,2000,0.693,-1.1
ECU,2001,-0.08575092979581553,,,11.74171378253679,-0.5854,1.51733948117752,1.0,8.306225262709143,9.40733648144871,61.0123544006659,2000,0.689,-1.0
ECU,2002,-0.0851306241366079,,,11.676481268525306,-0.4828,1.66039298461832,1.0,8.336845190471081,8.38814722027282,61.2871268050958,2000,0.689,-0.9
ECU,2003,-0.0754139465853432,,,11.642429294074843,-0.6144000000000001,1.86662346180863,1.0,8.347640876056564,8.74010782962713,61.5418469886978,2000,0.689,-0.8
ECU,2004,-0.07483596062790077,,,11.641311196435344,-0.693,2.38654946619875,1.0,8.396208401073688,12.5726365426945,61.7829573274038,2000,0.698,-0.8
ECU,2005,-0.08116766983313674,,,11.639296084234699,-0.7596,2.01733501271599,1.0,8.431488994320295,16.8498380565704,62.0068704145716,2000,0.698,-0.7
ECU,2006,-0.07088239100667457,,,11.582964625790334,-0.9428000000000001,2.36848865849083,1.0,8.456801913123694,18.3894115217757,62.2099988435587,2000,0.698,-0.7
ECU,2007,-0.07769228888613246,,,11.58207267845583,-1.0002,2.07919490158198,1.0,8.458568582904595,16.9001920320212,62.3887552077227,2000,0.693,-0.6
