iso3,country,year,summary_abs_red,draw_mean_abs_red,available_draws,mean_minus_summary,absolute_difference
ECU,Ecuador,2022,-0.3,-1.3664835357666016,100,-1.0664835357666016,1.0664835357666016
ECU,Ecuador,2023,-0.3,-1.2996550369262696,100,-0.9996550369262696,0.9996550369262696
ECU,Ecuador,2024,-0.2,-1.2663855743408203,100,-1.0663855743408204,1.0663855743408204
GTM,Guatemala,1990,3.0,3.3284312438964845,100,0.3284312438964845,0.3284312438964845
GTM,Guatemala,1991,3.0,3.5755723571777343,100,0.5755723571777343,0.5755723571777343
GTM,Guatemala,1992,3.0,3.3551344680786133,100,0.35513446807861326,0.35513446807861326
GTM,Guatemala,1993,3.0,3.5211357498168945,100,0.5211357498168945,0.5211357498168945
GTM,Guatemala,1994,3.0,3.6638366317749025,100,0.6638366317749025,0.6638366317749025
GTM,Guatemala,1995,3.0,3.586657752990723,100,0.5866577529907229,0.5866577529907229
GTM,Guatemala,1996,3.0,3.6387370300292967,100,0.6387370300292967,0.6387370300292967
GTM,Guatemala,1997,3.1,3.7755612564086913,100,0.6755612564086912,0.6755612564086912
GTM,Guatemala,1998,3.0,3.90165470123291,100,0.9016547012329101,0.9016547012329101
GTM,Guatemala,1999,3.0,3.581998748779297,100,0.5819987487792968,0.5819987487792968
GTM,Guatemala,2000,2.9,3.2719676208496096,100,0.37196762084960966,0.37196762084960966
GTM,Guatemala,2001,2.7,2.997188911437988,100,0.297188911437988,0.297188911437988
GTM,Guatemala,2002,2.6,2.689575653076172,100,0.08957565307617177,0.08957565307617177
GTM,Guatemala,2003,3.0,3.1969854736328127,100,0.1969854736328127,0.1969854736328127
GTM,Guatemala,2004,3.5,3.831475296020508,100,0.33147529602050785,0.33147529602050785
GTM,Guatemala,2005,3.4,3.589135971069336,100,0.18913597106933588,0.18913597106933588
GTM,Guatemala,2006,3.2,3.3631350708007814,100,0.16313507080078127,0.16313507080078127
GTM,Guatemala,2007,3.2,3.14752628326416,100,-0.052473716735840004,0.052473716735840004
GTM,Guatemala,2008,3.2,3.0287586212158204,100,-0.17124137878417978,0.17124137878417978
GTM,Guatemala,2009,3.1,2.9240165328979493,100,-0.17598346710205082,0.17598346710205082
GTM,Guatemala,2010,3.1,2.6241756439208985,100,-0.47582435607910156,0.47582435607910156
GTM,Guatemala,2011,3.1,2.775512809753418,100,-0.324487190246582,0.324487190246582
GTM,Guatemala,2012,2.9,2.8149079132080077,100,-0.0850920867919922,0.0850920867919922
GTM,Guatemala,2013,2.9,2.869662208557129,100,-0.030337791442871076,0.030337791442871076
GTM,Guatemala,2014,2.8,2.7795901489257813,100,-0.020409851074218555,0.020409851074218555
GTM,Guatemala,2015,2.9,2.649848976135254,100,-0.25015102386474597,0.25015102386474597
